code,name,city,country,timezone,city_code
AOT,Corrado Gex,Chef-Lieu,IT,Europe/Rome,AOT
AOU,Attopeu,Attapu,LA,Asia/Vientiane,AOU
APA,Centennial Airport,,US,America/Denver,DEN
APB,Apolo,Mapiri,BO,America/La_Paz,APB
APC,Napa County,American Canyon,US,America/Los_Angeles,APC
APE,San Juan Aposento,,PE,America/Lima,APE
APF,Naples Municipal Airport,Naples,US,America/New_York,APF
APG,Phillips AAF,Aberdeen,US,America/New_York,APG
APH,Camp A P Hill,Bowling Green,US,America/New_York,APH
API,Apiay,Puerto Lopez,CO,America/Bogota,API
APK,Apataki,,PF,Pacific/Tahiti,APK
APL,Nampula Airport,Nampula,MZ,Africa/Maputo,APL
APN,Alpena County Regional Airport,Alpena,US,America/Detroit,APN
APO,Apartado Airport,Carepa,CO,America/Bogota,APO
APP,Asapa,,PG,Pacific/Port_Moresby,APP
APQ,Arapiraca,Arapiraca,BR,America/Maceio,APQ
APR,April River,,PG,Pacific/Port_Moresby,APR
APS,Anapolis,Anapolis,BR,America/Sao_Paulo,APS
APT,Marion County,Powells Crossroads,US,America/Chicago,APT
APU,Apucarana,,BR,America/Sao_Paulo,APU
APV,Apple Valley,Apple Valley,US,America/Los_Angeles,APV
APW,Faleolo Airport,Satapuala,WS,Pacific/Apia,APW
APX,Arapongas,Apucarana,BR,America/Sao_Paulo,APX
APY,Alto Parnaiba,Morros,BR,America/Fortaleza,APY
APZ,Zapala,Zapala,AR,America/Argentina/Salta,APZ
AQA,Araraquara,Araraquara,BR,America/Sao_Paulo,AQA
AQB,Quiche Airport,Santa Cruz del Quiche,GT,America/Guatemala,AQB
AQG,Anqing Tianzhushan Airport,Anqing,CN,Asia/Shanghai,AQG
AQI,Qaisumah Airport,Al Qaysumah,SA,Asia/Riyadh,AQI
AQJ,King Hussein International Airport,Aqaba,JO,Asia/Amman,AQJ
AQM,Ariquemes,Ariquemes,BR,America/Porto_Velho,AQM
AQP,Rodriguez Ballon International Airport,Arequipa,PE,America/Lima,AQP
AQS,Saqani,,FJ,Pacific/Fiji,AQS
AQY,Alyeska,,US,America/Anchorage,AQY
ARA,Acadiana Regional,Cade,US,America/Chicago,ARA
ARB,Municipal,Ann Arbor,US,America/Detroit,ARB
ARC,Arctic Village,,US,America/Anchorage,ARC
ARD,Alor Island Airport,Sifala,ID,Asia/Makassar,ARD
ARE,Arecibo,Bajadero,PR,America/Puerto_Rico,ARE
ARF,Acaricuara,,CO,America/Bogota,ARF
ARG,Walnut Ridge,Walnut Ridge,US,America/Chicago,ARG
ARH,Talagi Airport,Arkhangel'sk,RU,Europe/Moscow,ARH
ARI,Chacalluta Airport,Arica,CL,America/Santiago,ARI
ARJ,Arso,Arso,ID,Asia/Jayapura,ARJ
ARK,Arusha Airport,Arusha,TZ,Africa/Dar_es_Salaam,ARK
ARL,Arly,,BF,Africa/Ouagadougou,ARL
ARM,Armidale Airport,Armidale,AU,Australia/Sydney,ARM
ARN,Stockholm Arlanda Airport,Marsta,SE,Europe/Stockholm,STO
ARO,Arboletas,Arboletes,CO,America/Bogota,ARO
ARP,Aragip,,PG,Pacific/Port_Moresby,ARP
ARQ,Arauquita,Arauquita,CO,America/Caracas,ARQ
ARR,Alto Rio Senguerr,Alto Rio Senguer,AR,America/Argentina/Catamarca,ARR
ARS,Aragarcas,Aragarcas,BR,America/Sao_Paulo,ARS
ART,Watertown Airport,Dexter,US,America/New_York,ART
ARU,Aracatuba Airport,Aracatuba,BR,America/Sao_Paulo,ARU
ARV,Noble F. Lee,Lac du Flambeau,US,America/Chicago,ARV
